channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
uniform,0.01,,8,12,1,10000,14592251008053203194,1.000000,0.000000,17.010,19.828,4.524,8.647,,,179136,17.160
uniform,0.01,,8,12,1,10000,15131275731391896864,1.000000,0.000000,16.915,19.717,4.685,8.607,,,179136,17.160
uniform,0.01,,8,12,1,10000,11573027147204422222,1.000000,0.000000,16.906,19.577,4.554,8.666,,,179136,17.160
uniform,0.05,,8,12,1,10000,962852841153794480,0.999900,0.000037,16.895,19.567,5.096,12.824,,,179136,17.160
uniform,0.05,,8,12,1,10000,2884669074019896124,0.999600,0.000162,16.907,19.467,5.200,12.825,,,179136,17.160
uniform,0.05,,8,12,1,10000,14288350625698372975,1.000000,0.000000,16.898,19.497,5.095,12.815,,,179136,17.160
uniform,0.1,,8,12,1,10000,7996022661295210066,0.996000,0.001863,16.915,19.657,6.115,12.995,,,179136,17.160
uniform,0.1,,8,12,1,10000,2325494507792890004,0.996600,0.001450,16.898,19.677,6.079,12.865,,,179136,17.160
uniform,0.1,,8,12,1,10000,10772770360333752818,0.996700,0.001437,16.913,19.497,5.972,12.855,,,179136,17.160
uniform,0.2,,8,12,1,10000,17700616208992460874,0.928400,0.031650,16.909,19.537,7.620,17.092,,,179136,17.160
uniform,0.2,,8,12,1,10000,17109082089479076945,0.928800,0.031413,16.913,19.728,7.593,17.092,,,179136,17.160
uniform,0.2,,8,12,1,10000,1507227158698609310,0.926600,0.032113,16.904,19.457,7.622,17.093,,,179136,17.160
uniform,0.3,,8,12,1,10000,9484734225653871373,0.730900,0.125638,16.892,19.426,8.788,17.103,,,179136,17.160
uniform,0.3,,8,12,1,10000,15895480240649402700,0.727900,0.127625,16.913,19.717,8.787,17.103,,,179136,17.160
uniform,0.3,,8,12,1,10000,18408728522481117289,0.721900,0.129700,16.926,19.918,8.905,17.103,,,179136,17.160
ge,2,100,8,12,1,10000,13764615221283587472,0.993500,0.003675,16.935,19.788,7.257,17.133,,,179136,17.160
ge,2,100,8,12,1,10000,14057361751825303832,0.993500,0.003863,16.929,19.818,7.472,17.122,,,179136,17.160
ge,2,100,8,12,1,10000,3799789106081763056,0.993100,0.003275,16.898,19.447,6.841,17.092,,,179136,17.160
