channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
uniform,0.01,,8,12,1,10000,14592251008053203194,1.000000,0.000000,21.419,26.420,5.914,10.991,,,179136,17.160
uniform,0.01,,8,12,1,10000,15131275731391896864,1.000000,0.000000,18.868,25.739,5.055,10.831,,,179136,17.160
uniform,0.01,,8,12,1,10000,11573027147204422222,1.000000,0.000000,17.186,22.342,5.367,8.927,,,179136,17.160
uniform,0.05,,8,12,1,10000,962852841153794480,0.999900,0.000037,17.570,22.072,5.494,12.874,,,179136,17.160
uniform,0.05,,8,12,1,10000,2884669074019896124,0.999600,0.000162,16.977,20.139,5.178,12.834,,,179136,17.160
uniform,0.05,,8,12,1,10000,14288350625698372975,1.000000,0.000000,17.032,21.000,5.125,12.824,,,179136,17.160
uniform,0.1,,8,12,1,10000,7996022661295210066,0.996000,0.001863,17.243,21.681,6.162,16.080,,,179136,17.160
uniform,0.1,,8,12,1,10000,2325494507792890004,0.996600,0.001450,17.505,25.489,6.316,16.391,,,179136,17.160
uniform,0.1,,8,12,1,10000,10772770360333752818,0.996700,0.001437,17.614,23.335,6.552,16.061,,,179136,17.160
uniform,0.2,,8,12,1,10000,17700616208992460874,0.928400,0.031650,17.439,21.772,7.889,17.313,,,179136,17.160
uniform,0.2,,8,12,1,10000,17109082089479076945,0.928800,0.031413,17.366,21.912,7.827,17.213,,,179136,17.160
uniform,0.2,,8,12,1,10000,1507227158698609310,0.926600,0.032113,17.346,23.424,7.854,17.313,,,179136,17.160
uniform,0.3,,8,12,1,10000,9484734225653871373,0.730900,0.125638,17.448,25.248,9.102,18.104,,,179136,17.160
uniform,0.3,,8,12,1,10000,15895480240649402700,0.727900,0.127625,17.711,26.330,9.190,19.487,,,179136,17.160
uniform,0.3,,8,12,1,10000,18408728522481117289,0.721900,0.129700,17.236,21.190,9.115,17.713,,,179136,17.160
ge,2,100,8,12,1,10000,13764615221283587472,0.993500,0.003675,17.138,21.080,7.278,17.322,,,179136,17.160
ge,2,100,8,12,1,10000,14057361751825303832,0.993500,0.003863,17.169,21.090,7.263,17.242,,,179136,17.160
ge,2,100,8,12,1,10000,3799789106081763056,0.993100,0.003275,17.327,23.955,7.020,17.423,,,179136,17.160
ge,5,100,8,12,1,10000,3123779003754443189,0.954100,0.029362,17.216,21.351,9.171,17.954,,,179136,17.160
ge,5,100,8,12,1,10000,2796559716812270566,0.951500,0.032000,17.156,21.280,9.758,18.134,,,179136,17.160
ge,5,100,8,12,1,10000,14419531570187978349,0.952100,0.031863,17.204,21.181,8.965,17.443,,,179136,17.160
ge,10,100,8,12,1,10000,5607200686639637375,0.893500,0.078925,17.265,20.348,9.933,17.322,,,179136,17.160
ge,10,100,8,12,1,10000,4870401576195411530,0.895800,0.077950,17.427,24.066,10.987,23.365,,,179136,17.160
ge,10,100,8,12,1,10000,11024369235124357731,0.898900,0.075912,17.261,21.060,9.769,20.038,,,179136,17.160
ge,20,100,8,12,1,10000,17654499724181561432,0.809400,0.160125,17.024,20.619,12.001,21.030,,,179136,17.160
ge,20,100,8,12,1,10000,6286569257586256953,0.824600,0.147725,17.474,26.811,9.919,20.579,,,179136,17.160
ge,20,100,8,12,1,10000,13271101651711076956,0.812400,0.157625,17.401,22.072,10.267,20.629,,,179136,17.160
ge,2,1000,8,12,1,10000,9954214585075526297,0.999800,0.000175,17.232,21.291,7.862,18.475,,,179136,17.160
ge,2,1000,8,12,1,10000,8755491976939087057,0.999300,0.000362,17.234,22.553,7.107,18.295,,,179136,17.160
ge,2,1000,8,12,1,10000,9691503877528755244,0.999400,0.000375,17.105,20.609,6.601,18.084,,,179136,17.160
ge,5,1000,8,12,1,10000,6567965153088088435,0.996200,0.002300,17.096,20.780,9.075,18.595,,,179136,17.160
ge,5,1000,8,12,1,10000,15071546564520470367,0.994500,0.003450,17.105,20.499,9.223,17.573,,,179136,17.160
ge,5,1000,8,12,1,10000,7444847171171486964,0.995700,0.002812,17.100,20.599,9.255,17.834,,,179136,17.160
ge,10,1000,8,12,1,10000,7553946500577862433,0.989700,0.007912,17.138,20.469,12.914,19.878,,,179136,17.160
ge,10,1000,8,12,1,10000,16239942967073409871,0.990800,0.006012,17.079,20.519,9.627,20.259,,,179136,17.160
ge,10,1000,8,12,1,10000,11953724897151151992,0.988600,0.008275,17.083,20.620,9.923,18.575,,,179136,17.160
ge,20,1000,8,12,1,10000,16248310304916082044,0.974800,0.021562,17.097,20.619,11.635,20.108,,,179136,17.160
ge,20,1000,8,12,1,10000,3096375030035860854,0.976700,0.019425,17.075,20.619,15.330,19.347,,,179136,17.160
ge,20,1000,8,12,1,10000,2225452381879712134,0.981900,0.015863,17.044,20.649,10.702,20.288,,,179136,17.160
periodic,5,1,8,12,1,10000,13100001776844106680,1.000000,0.000000,17.095,20.869,6.948,9.728,,,179136,17.160
periodic,5,1,8,12,1,10000,2611994543363328680,1.000000,0.000000,17.048,20.519,6.983,9.838,,,179136,17.160
periodic,5,1,8,12,1,10000,12846327452232552463,1.000000,0.000000,17.061,20.429,6.928,9.588,,,179136,17.160
periodic,10,1,8,12,1,10000,11882457511975098647,1.000000,0.000000,17.044,20.309,4.353,4.960,,,179136,17.160
periodic,10,1,8,12,1,10000,13758019269291205001,1.000000,0.000000,17.088,20.459,4.387,4.999,,,179136,17.160
periodic,10,1,8,12,1,10000,15101073321033496574,1.000000,0.000000,16.972,19.898,4.341,4.949,,,179136,17.160
periodic,20,1,8,12,1,10000,734699885367904249,1.000000,0.000000,16.957,19.878,4.341,4.929,,,179136,17.160
periodic,20,1,8,12,1,10000,4211095226099945924,1.000000,0.000000,16.926,19.687,4.417,4.909,,,179136,17.160
periodic,20,1,8,12,1,10000,16435365111697733088,1.000000,0.000000,16.942,19.877,4.335,4.809,,,179136,17.160
uniform,0.01,,8,12,2,10000,4959409812076644290,1.000000,0.000000,16.918,19.828,5.278,9.247,0.453,0.856,196800,29.320
uniform,0.01,,8,12,2,10000,13890427992222733445,1.000000,0.000000,17.399,22.292,4.660,8.916,0.489,0.967,196800,29.320
uniform,0.01,,8,12,2,10000,15201487656494518613,1.000000,0.000000,17.065,21.070,4.526,8.767,0.446,0.846,196800,29.320
uniform,0.05,,8,12,2,10000,9788490470041287948,0.999700,0.000125,17.448,25.538,5.303,12.844,0.464,0.891,196800,29.320
uniform,0.05,,8,12,2,10000,6802193928143874084,0.999800,0.000112,17.157,21.401,5.288,12.844,0.443,0.836,196800,29.320
uniform,0.05,,8,12,2,10000,17593376047385388227,0.999700,0.000112,16.930,19.817,5.353,12.844,0.426,0.826,196800,29.320
uniform,0.1,,8,12,2,10000,8226857876613277120,0.996300,0.001662,16.965,19.998,6.066,12.884,0.434,0.831,196800,29.320
